,sentence1,sentence2,pronoun,referent,wrong_referent
3980,The bee collected pollen from the flower,It was gathering food,It,bee,flower
3981,The eager students perused the enriching books,They were gaining valuable information,They,students,books
3982,The sniper took down the terrorist,He was a accurate marksman,He,sniper,terrorist
3983,The sailors abandoned the boats,They were overloading,They,boats,sailors
3984,The sailors tumbled off the rundown boats,They were making mistakes,They,sailors,boats
3985,The persistent birds munched on the difficult-to-reach seeds,They were tantalizing,They,seeds,birds
3986,The students immersed themselves in the intricate books,They were filled with knowledge,They,books,students
3987,The sturdy knife sliced through the school fence smoothly,It was a decayed and rotted,It,fence,knife
3988,The winning sniper targeted the terrorist,He was a veteran marksman,He,sniper,terrorist
3989,The skilled bee descended on the lovely flower,It was producing pollen,It,flower,bee
3990,The powerful knife scraped the fence near the garden,It was weak and unstable,It,fence,knife
3991,The efficient bee hovered near the flower,It was abundant with pollen,It,flower,bee
3992,The sniper executed the terrorist,He was a ruthless war criminal,He,terrorist,sniper
3993,The activist people staged a sit-in against the government,They were working for change,They,people,government
3994,The toned heart drove blood rapidly,It was a unfaltering organ,It,heart,blood
3995,The ravenous birds gobbled up the scattered seeds,They were chirping melodiously,They,birds,seeds
3996,The busy birds ate the difficult-to-reach seeds,They were insatiable,They,birds,seeds
3997,The winning sniper killed the brutal terrorist,He was a successful shooter,He,sniper,terrorist
3998,The students read through the humorous books,They were difficult to understand,They,books,students
3999,The sniper fired the terrorist,He was a resourceful assassin,He,sniper,terrorist
4000,The indomitable heart pumped blood that rejuvenated cells,It was a skin-nourshing liquid,It,blood,heart
4001,The knife scraped the weak fence firmly,It was separating the fields,It,fence,knife
4002,The brutal storm alarm the flight,It was carrying cargo,It,flight,storm
4003,The sharp knife sliced through the soccer fence surrounding the garden,It was a old and weakened by time,It,fence,knife
4004,The people led a rally against the unrepresentative government,They were showing solidarity,They,people,government
4005,The strong bee was determined to find the flower,It was beautiful,It,flower,bee
4006,The storm forced the international flight,It was producing tornadoes,It,storm,flight
4007,The brilliant students memorized the stimulating books,They were filled with data,They,books,students
4008,The sniper eliminated the terrorist,He was a ruthless human trafficker,He,terrorist,sniper
4009,The hard-working students reinterpreted the books,They were entertaining,They,books,students
4010,The winning sniper took aim the terrorist,He was a successful killer,He,sniper,terrorist
4011,The winning sniper executed the terrorist,He was a top assassin,He,sniper,terrorist
4012,The heart circulated blood that rejuvenated cells,It was a organ-supporting fluid,It,blood,heart
4013,The sniper targeted the ruthless terrorist,He was a vicious warmonger,He,terrorist,sniper
4014,The veteran sailors leaped off the boats,They were tipping over,They,boats,sailors
4015,The energetic people led a demonstration against the unresponsive government,They were suppressing free speech,They,government,people
4016,The determined students immersed themselves in the comedy books,They were containing valuable information,They,books,students
4017,The activist people staged a sit-in against the unresponsive government,They were colluding with corporations,They,government,people
4018,The sniper took down the terrorist,He was a winning killer,He,sniper,terrorist
4019,The knife sliced through the fence separating the yards,It was weathered and corroded,It,fence,knife
4020,The imaginative students discussed the biography books,They were making a difference,They,students,books
4021,The brave bee examined the flower,It was making pollen,It,flower,bee
4022,The heart circulated blood with unwavering attention,It was a toned organ,It,heart,blood
4023,The activist people organized a rally against the dismissive government,They were seeking representation,They,people,government
4024,The resilient people held a sit-in against the corrupt government,They were seeking justice,They,people,government
4025,The careless sailors slid off the boats,They were facing high waves,They,sailors,boats
4026,The proactive people held hands against the government,They were making an impact,They,people,government
4027,The storm caused a delay for the commercial flight,It was bringing high winds,It,storm,flight
4028,The storm posed a threat to the international flight,It was putting lives in peril,It,storm,flight
4029,The storm battered the scheduled flight,It was creating dangerous conditions,It,storm,flight
4030,The determined sailors tumbled off the dilapidated boats,They were fearless,They,sailors,boats
4031,The unwavering people held a hunger strike against the government,They were demanding a say,They,people,government
4032,The imaginative bee worked on the awe-inspiring flower,It was an untouched paradise,It,flower,bee
4033,The unskilled sailors fled the dilapidated boats,They were facing malfunctions,They,boats,sailors
4034,The knife cut through the soccer fence with precision,It was a powerful implement,It,knife,fence
4035,The sniper neutralized the brutal terrorist,He was a bad warmonger,He,terrorist,sniper
4036,The storm shattered the commercial flight,It was causing flash floods,It,storm,flight
4037,The turbulent storm impacted the flight,It was carrying cargo,It,flight,storm
4038,The precision knife punctured the fence separating the yards,It was thin and ineffective,It,fence,knife
4039,The proactive people occupied the city center against the unfair government,They were accepting bribes,They,government,people
4040,The fearless people organized a sit-in against the dishonest government,They were violating civil rights,They,government,people
4041,The dull knife scratched the soccer fence easily,It was a corroded and weakened,It,fence,knife
4042,The heart pumped muscle-oxygenating blood that nourished cells,It was a messaging fluid,It,blood,heart
4043,The sniper neutralized the brutal terrorist,He was a bad assassin,He,terrorist,sniper
4044,The bee gathered pollen from the flower,It was rich in nectar,It,flower,bee
4045,The energetic people formed a human chain against the government,They were fighting for freedom,They,people,government
4046,The heart moved blood with resilience,It was a self-assured organ,It,heart,blood
4047,The serrated knife severed the construction fence surrounding the pool,It was a freshly painted,It,fence,knife
4048,The heart circulated blood that aided digestion,It was a life-enhancing fluid,It,blood,heart
4049,The skilled sailors plunged off the boats,They were navigating poorly,They,sailors,boats
4050,The imaginative bee was focused on the towering flower,It was making pollen,It,flower,bee
4051,The storm frightened the morning flight,It was producing tornadoes,It,storm,flight
4052,The imaginative bee collected nectar from the fruitful flower,It was bursting with nectar,It,flower,bee
4053,The accurate sniper neutralized the terrorist,He was a veteran sharpshooter,He,sniper,terrorist
4054,The powerful heart drove life-enhancing blood that nourished cells,It was a life-supporting fluid,It,blood,heart
4055,The fearless people rallied together against the government,They were fighting for their cause,They,people,government
4056,The snacking birds ate the seeds,They were tantalizing,They,seeds,birds
4057,The heart beat blood with unwavering attention,It was a strong organ,It,heart,blood
4058,The fearless people staged a sit-in against the dismissive government,They were neglecting their duties,They,government,people
4059,The determined birds ate the seeds,They were resolute,They,birds,seeds
4060,The adventurous bee sipped nectar from the pretty flower,It was full of pollen,It,flower,bee
4061,The creative heart circulated blood with assurance,It was a tireless muscle,It,heart,blood
4062,The birds experimented with the difficult-to-reach seeds,They were seeking energy,They,birds,seeds
4063,The destructive storm frightened the flight,It was bringing high winds,It,storm,flight
4064,The adventurous bee buzzed the flower,It was offering nectar,It,flower,bee
4065,The smart sailors slid off the boats,They were trying to survive,They,sailors,boats
4066,The brave students researched the enriching books,They were planning their next trip,They,students,books
4067,The people gathered against the out-of-touch government,They were suppressing opposition,They,government,people
4068,The pecking birds swooped down to the difficult-to-reach seeds,They were a well-balanced meal,They,seeds,birds
4069,The graceful birds ate the crisp seeds,They were tasty and satisfying,They,seeds,birds
4070,The winning sniper eliminated the terrorist,He was a successful shooter,He,sniper,terrorist
4071,The resilient people joined a nonviolent protest against the unresponsive government,They were supporting ethnic cleansing,They,government,people
4072,The heart beat blood that reduced inflammation,It was a essential fluid,It,blood,heart
4073,The powerful storm disrupted the flight,It was carrying important documents,It,flight,storm
4074,The fearless people picketed the government building against the government,They were promoting human rights,They,people,government
4075,The peaceful people organized a rally against the corrupt government,They were wasting resources,They,government,people
4076,The birds reached the soft seeds,They were chirping melodiously,They,birds,seeds
4077,The untiring heart pumped nourishing blood that aided digestion,It was a brain-oxygenating fluid,It,blood,heart
4078,The outraged people occupied the city center against the inhumane government,They were denying justice,They,government,people
4079,The sniper executed the terrorist,He was a winning assassin,He,sniper,terrorist
4080,The sailors threw themselves off the reckless boats,They were not following safety procedures,They,sailors,boats
4081,The storm interrupted the flight,It was putting travelers in danger,It,storm,flight
4082,The students explored the intricate books,They were entertaining,They,books,students
4083,The knife scraped the parking fence with care,It was strong and sturdy,It,knife,fence
4084,The knife punctured the fence with a satisfying sound,It was a powerful tool,It,knife,fence
4085,The activist people demonstrated against the unfair government,They were violating human rights,They,government,people
4086,The passionate people organized a rally against the government,They were promoting unity,They,people,government
4087,The heart beat life-giving blood with a clear intention,It was a enthusiastic organ,It,heart,blood
4088,The massive storm caused a delay for the flight,It was full of passengers,It,flight,storm
4089,The brave students examined the adventurous books,They were providing new insights,They,books,students
4090,The raging storm frightened the flight,It was headed for Europe,It,flight,storm
4091,The knife scratched the parking fence with care,It was powerful and efficient,It,knife,fence
4092,The strong heart moved blood with care,It was a well-oiled organ,It,heart,blood
4093,The hardworking students reviewed the insightful books,They were covering advanced topics,They,books,students
4094,The people marched in solidarity against the government,They were fighting for their beliefs,They,people,government
4095,The imaginative students read over the ancient books,They were entertaining,They,books,students
4096,The sturdy heart drove blood rapidly,It was a persistent organ,It,heart,blood
4097,The police caught the criminals through the crowded market,They were determined to apprehend them,They,police,criminals
4098,The durable knife severed the fence quickly,It was easily cut,It,fence,knife
4099,The strong sailors plummeted off the boats,They were prone to capsize,They,boats,sailors
4100,The curious bee visited the flower,It was rare,It,flower,bee
4101,The fearless people staged a rally against the unrepresentative government,They were spreading hope,They,people,government
4102,The police caught the criminals for hours,They were armed with knives and guns,They,criminals,police
4103,The durable knife scratched the fence separating the yards,It was thin and ineffective,It,fence,knife
4104,The eager birds plucked the seeds,They were tempting to try,They,seeds,birds
4105,The severe storm destroyed the flight,It was carrying cargo,It,flight,storm
4106,The birds foraged for the floral seeds,They were observant,They,birds,seeds
4107,The skillful heart moved muscle-oxygenating blood with a clear intention,It was a pumping organ,It,heart,blood
4108,The birds pecked at the tasty seeds,They were indulging in a treat,They,birds,seeds
4109,The knife scratched the school fence with power,It was a strong blade,It,knife,fence
4110,The quick heart pushed blood with determination,It was a beating organ,It,heart,blood
4111,The adventurous bee examined the pretty flower,It was brimming with nectar,It,flower,bee
4112,The creative students delved into the books,They were pushing themselves to succeed,They,students,books
4113,The powerful knife scratched the parking fence with one quick strike,It was a reliable blade,It,knife,fence
4114,The hard-working bee was focused on the pristine flower,It was rich in nectar,It,flower,bee
4115,The unwavering people held a rally against the unresponsive government,They were representing all voices,They,people,government
4116,The sailors fled the unsound boats,They were prone to capsize,They,boats,sailors
4117,The students reviewed the self-help books,They were gaining insight,They,students,books
4118,The sailors abandoned the boats,They were sinking,They,boats,sailors
4119,The eager students read over the stimulating books,They were reaching for their goals,They,students,books
4120,The people joined a nonviolent protest against the government,They were abusing their power,They,government,people
4121,The sailors dropped off the boats,They were falling apart,They,boats,sailors
4122,The experienced sailors escaped off the understaffed boats,They were braving the storm,They,sailors,boats
4123,The birds plucked the ripe seeds,They were fearless,They,birds,seeds
4124,The people demonstrated against the government,They were seeking representation,They,people,government
4125,The sniper eliminated the terrorist,He was a notorious human trafficker,He,terrorist,sniper
4126,The storm affected the scheduled flight,It was putting travelers in danger,It,storm,flight
4127,The students read over the books,They were planning their next trip,They,students,books
4128,The heart pumped sustaining blood with resilience,It was a untiring muscle,It,heart,blood
4129,The sniper eliminated the terrorist,He was a brutal killer,He,terrorist,sniper
4130,The sniper took aim the terrorist,He was a brutal launderer,He,terrorist,sniper
4131,The veteran sailors dived off the boats,They were not comfortable,They,boats,sailors
4132,The hard-working students reinterpreted the biography books,They were exercising their brains,They,students,books
4133,The adventurous sailors plunged off the boats,They were malfunctioning,They,boats,sailors
4134,The students discussed the biography books,They were boring,They,books,students
4135,The skilled sailors escaped off the boats,They were having technical problems,They,boats,sailors
4136,The brutal storm made the commercial flight,It was creating dangerous conditions,It,storm,flight
4137,The knife scratched the old fence with one quick strike,It was strong and sturdy,It,knife,fence
4138,The enthusiastic heart drove organ-supporting blood that reduced inflammation,It was a life-essential liquid,It,blood,heart
4139,The knife sliced through the swimming fence with precision,It was a strong implement,It,knife,fence
4140,The diligent students read through the biography books,They were filled with data,They,books,students
4141,The durable knife sliced through the fence smoothly,It was transparent and thin,It,fence,knife
4142,The determined bee descended on the flower,It was exploring for nectar,It,bee,flower
4143,The bee gathered pollen from the flower,It was gathering food,It,bee,flower
4144,The unwavering people organized a flash mob against the government,They were wasting resources,They,government,people
4145,The eager bee sought pollen from the symmetrical flower,It was attracting insects,It,flower,bee
4146,The winning sniper assassinated the terrorist,He was a veteran marksman,He,sniper,terrorist
4147,The raging storm suspended the commercial flight,It was full of passengers,It,flight,storm
4148,The knife scratched the school fence near the garden,It was unstable and dilapidated,It,fence,knife
4149,The active birds delicately ate the succulent seeds,They were a delicious snack,They,seeds,birds
4150,The hungry birds chased the seeds,They were a filling food,They,seeds,birds
4151,The students memorized the books,They were filled with data,They,books,students
4152,The heart pushed blood that maintained life,It was a immune-boosting fluid,It,blood,heart
4153,The hardworking bee was determined to find the lovely flower,It was beautiful,It,flower,bee
4154,The resilient people organized a protest against the ineffective government,They were suppressing free speech,They,government,people
4155,The diligent students discussed the adventurous books,They were convincing,They,books,students
4156,The unwavering people formed a human chain against the out-of-touch government,They were fighting for their rights,They,people,government
4157,The heart moved blood rapidly,It was a diligent organ,It,heart,blood
4158,The dull knife scratched the fence rapidly,It was decayed and corroded,It,fence,knife
4159,The heart beat blood with a clear intention,It was a toned organ,It,heart,blood
4160,The imaginative students learned from the intricate books,They were difficult to understand,They,books,students
4161,The accurate sniper took down the dangerous terrorist,He was a talented marksman,He,sniper,terrorist
4162,The inexperienced sailors jumped off the boats,They were taking on water,They,boats,sailors
4163,The colorful birds chose the seeds,They were a satisfying meal,They,seeds,birds
4164,The sniper took aim the terrorist,He was a accurate marksman,He,sniper,terrorist
4165,The innovative people held hands against the government,They were demanding freedom,They,people,government
4166,The sailors escaped from the unreliable boats,They were overconfident,They,sailors,boats
4167,The heart pumped blood that nourished cells,It was a muscle-oxygenating liquid,It,blood,heart
4168,The sniper assassinated the terrorist,He was a winning shooter,He,sniper,terrorist
4169,The experienced sailors left the boats,They were causing accidents,They,boats,sailors
4170,The creative students discussed the comedy books,They were providing essential knowledge,They,books,students
4171,The storm cancelled the international flight,It was creating dangerous conditions,It,storm,flight
4172,The strong storm frightened the flight,It was carrying essential supplies,It,flight,storm
4173,The eager bee visited the pristine flower,It was generating pollen,It,flower,bee
4174,The sailors leapt off the loaded boats,They were fighting for their lives,They,sailors,boats
4175,The determined students delved into the imaginative books,They were covering advanced topics,They,books,students
4176,The hungry birds kept eating the seeds,They were satisfying,They,seeds,birds
4177,The storm prevented the morning flight,It was putting travelers in danger,It,storm,flight
4178,The precise sniper eliminated the terrorist,He was a successful killer,He,sniper,terrorist
4179,The imaginative bee hovered over the flowering flower,It was an untouched paradise,It,flower,bee
4180,The careless sailors dropped off the navy boats,They were facing malfunctions,They,boats,sailors
4181,The healthy heart pumped blood with determination,It was a resilient organ,It,heart,blood
4182,The durable knife scraped the fence firmly,It was old and rusted,It,fence,knife
4183,The ravenous birds plucked the different seeds,They were a well-balanced meal,They,seeds,birds
4184,The skilled bee buzzed around the flower,It was fascinated by the pollen,It,bee,flower
4185,The students studied the self-help books,They were difficult to understand,They,books,students
4186,The precision knife severed the community fence quickly,It was a enclosing the construction site,It,fence,knife
4187,The robust heart beat blood with care,It was a single-minded muscle,It,heart,blood
4188,The innovative birds tried the fertile seeds,They were smoky,They,seeds,birds
4189,The lucky sailors escaped off the boats,They were not safe,They,boats,sailors
4190,The winning sniper took out the terrorist,He was a notorious extremist,He,terrorist,sniper
4191,The toned heart drove brain-enhancing blood that fought infections,It was a heart-supporting liquid,It,blood,heart
4192,The diligent students perused the biography books,They were seeking wisdom,They,students,books
4193,The acrobatic birds picked at the seeds,They were scrumptious,They,seeds,birds
4194,The people formed a picket line against the dismissive government,They were speaking truth to power,They,people,government
4195,The adventurous students read through the books,They were providing essential knowledge,They,books,students
4196,The hard-working bee crawled on the delicious flower,It was bursting with nectar,It,flower,bee
4197,The sniper neutralized the terrorist,He was a ruthless human rights violator,He,terrorist,sniper
4198,The strong bee inspected the pretty flower,It was collecting valuable pollen,It,bee,flower
4199,The unskilled sailors leaped off the boats,They were tipping over,They,boats,sailors
4200,The brilliant students examined the stimulating books,They were mastering the material,They,students,books
4201,The sudden storm devastated the international flight,It was putting lives in peril,It,storm,flight
4202,The agile bee buzzed around the flower,It was bursting with nectar,It,flower,bee
4203,The innovative people gathered to demonstrate against the government,They were exploiting the poor,They,government,people
4204,The peaceful people held a sit-in against the unrepresentative government,They were suppressing dissent,They,government,people
4205,The innovative people picketed the government building against the dismissive government,They were fighting for freedom,They,people,government
4206,The imaginative bee sought pollen from the flower,It was attracting attention,It,flower,bee
4207,The veteran sailors plunged into the boats,They were experiencing mechanical failure,They,boats,sailors
4208,The sudden storm hindered the flight,It was carrying a VIP,It,flight,storm
4209,The innovative people organized a flash mob against the corrupt government,They were engaging in embezzlement,They,government,people
4210,The sturdy knife scratched the parking fence firmly,It was a rusty and corroded,It,fence,knife
4211,The activist people gathered for a rally against the inhumane government,They were denying equal opportunities,They,government,people
4212,The precise sniper executed the terrorist,He was a top sharpshooter,He,sniper,terrorist
4213,The students scrutinized the books,They were visually stunning,They,books,students
4214,The imaginative students examined the thought-provoking books,They were reaching for their potential,They,students,books
4215,The unskilled sailors fled the boats,They were competing in a race,They,sailors,boats
4216,The sailors plunged off the rundown boats,They were making mistakes,They,sailors,boats
4217,The strong heart pushed cleansing blood that maintained life,It was a life-sustaining fluid,It,blood,heart
4218,The birds pecked at the seeds,They were poised,They,birds,seeds
4219,The swift birds experimented with the falling seeds,They were crunchy,They,seeds,birds
4220,The resourceful sailors plunged off the unprotected boats,They were falling apart,They,boats,sailors
4221,The knife sliced through the soccer fence blocking the path,It was weak and easily damaged,It,fence,knife
4222,The bee hovered over the fruitful flower,It was abundant with pollen,It,flower,bee
4223,The heart moved life-enriching blood that fought infections,It was a healing fluid,It,blood,heart
4224,The strong heart pushed digestive blood that fought infections,It was a life-sustaining liquid,It,blood,heart
4225,The clever bee flew to the flower,It was rich in nectar,It,flower,bee
4226,The active bee descended on the alluring flower,It was bursting with nectar,It,flower,bee
4227,The fearless people spoke out against the inhumane government,They were suppressing religious freedoms,They,government,people
4228,The resilient people held a rally against the out-of-touch government,They were committing genocide,They,government,people
4229,The exhausted sailors escaped off the boats,They were facing high waves,They,sailors,boats
4230,The inexperienced sailors dropped off the boats,They were breaking down,They,boats,sailors
4231,The agile bee flew from the awe-inspiring flower,It was yielding nectar,It,flower,bee
4232,The people staged a demonstration against the unfair government,They were fighting for equality,They,people,government
4233,The bee gathered pollen from the awe-inspiring flower,It was seeking quality nectar,It,bee,flower
4234,The pecking birds snatched the overlooked seeds,They were rich in nutrients,They,seeds,birds
4235,The storm battered the flight,It was headed for Europe,It,flight,storm
4236,The knife severed the weak fence with precision,It was a reliable blade,It,knife,fence
4237,The activist people formed a human chain against the government,They were working for change,They,people,government
4238,The students pored over the self-help books,They were entertaining,They,books,students
4239,The adventurous bee flew to the towering flower,It was on a mission,It,bee,flower
4240,The heart beat blood that aided digestion,It was a life-giving liquid,It,blood,heart
4241,The enthusiastic heart drove organ-supporting blood that reduced inflammation,It was a heart-supporting fluid,It,blood,heart
4242,The heart beat blood with great force,It was a sturdy muscle,It,heart,blood
4243,The serrated knife sliced through the old fence firmly,It was a decayed and rotted,It,fence,knife
4244,The active bee flew to the intricate flower,It was in full bloom,It,flower,bee
4245,The people led a protest against the government,They were engaging in torture,They,government,people
4246,The curious bee worked on the flower,It was attracting insects,It,flower,bee
4247,The agile bee approached the fruitful flower,It was full of pollen,It,flower,bee
4248,The police caught the criminals through the crowded market,They were a specialized and tactical unit,They,police,criminals
4249,The durable knife cut through the fence separating the yards,It was separating the playground from the parking lot,It,fence,knife
4250,The sniper eliminated the terrorist,He was a brutal bomber,He,terrorist,sniper
4251,The fierce storm frightened the flight,It was putting lives in peril,It,storm,flight
4252,The winning sniper took aim the notorious terrorist,He was a barbaric insurgent,He,terrorist,sniper
4253,The creative heart moved blood with unwavering attention,It was a persistent organ,It,heart,blood
4254,The enthusiastic students memorized the comedy books,They were enriching their lives,They,students,books
4255,The enthusiastic heart moved brain-enhancing blood that sustained life,It was a healing fluid,It,blood,heart
4256,The opportunistic birds plucked the seeds,They were a juicy delight,They,seeds,birds
4257,The fearless heart beat necessary blood that fought infections,It was a life-revitalizing fluid,It,blood,heart
4258,The panicked sailors sprang from the boats,They were capsizing,They,boats,sailors
4259,The unstoppable heart pushed blood with care,It was a harmonious organ,It,heart,blood
4260,The persistent students researched the humorous books,They were visually stunning,They,books,students
4261,The swift birds chose the rich seeds,They were satisfying,They,seeds,birds
4262,The hardworking students created projects based on the books,They were well-written,They,books,students
4263,The brutal storm devastated the commercial flight,It was making road conditions hazardous,It,storm,flight
4264,The determined bee inspected the abundant flower,It was an untouched paradise,It,flower,bee
4265,The bee perched on the intricate flower,It was seeking quality nectar,It,bee,flower
4266,The precision knife cut through the old fence separating the yards,It was a decayed and rotted,It,fence,knife
4267,The storm cancelled the scheduled flight,It was carrying a VIP,It,flight,storm
4268,The robust heart pushed blood with care,It was a agile muscle,It,heart,blood
4269,The strong sailors fell off the derelict boats,They were trying to survive,They,sailors,boats
4270,The persistent students scrutinized the thought-provoking books,They were broadening their horizons,They,students,books
4271,The hard-working students absorbed the books,They were pursuing their passions,They,students,books
4272,The police prosecuted the criminals through the crowded market,They were a fearless and dedicated force,They,police,criminals
4273,The precise sniper targeted the terrorist,He was a successful killer,He,sniper,terrorist
4274,The resourceful sniper targeted the terrorist,He was a veteran shooter,He,sniper,terrorist
4275,The students delved into the insightful books,They were breaking new ground,They,students,books
4276,The powerful storm caused the flight,It was producing tornadoes,It,storm,flight
4277,The persistent birds reached for the falling seeds,They were scrumptious,They,seeds,birds
4278,The sailors jumped off the treacherous boats,They were fearless,They,sailors,boats
4279,The panicked sailors fell off the boats,They were not secured,They,boats,sailors
4280,The unswerving heart moved rejuvenating blood that reduced inflammation,It was a critical fluid,It,blood,heart
4281,The passionate people staged a demonstration against the dishonest government,They were making a difference,They,people,government
4282,The sniper neutralized the terrorist,He was a winning assassin,He,sniper,terrorist
4283,The birds delicately ate the mouth-watering seeds,They were trying new things,They,birds,seeds
4284,The fierce storm caused a delay for the flight,It was flying to Hawaii,It,flight,storm
4285,The heavy-duty knife sliced through the swimming fence with power,It was sharp and powerful,It,knife,fence
4286,The sailors vaulted off the over-loaded boats,They were avoiding capsizing,They,sailors,boats
4287,The storm impacted the international flight,It was carrying important documents,It,flight,storm
4288,The sniper killed the brutal terrorist,He was a resourceful killer,He,sniper,terrorist
4289,The knife punctured the old fence smoothly,It was damaged and unstable,It,fence,knife
4290,The sailors vaulted off the exposed boats,They were repairing the hull,They,sailors,boats
4291,The precise sniper took down the terrorist,He was a brutal combatant,He,terrorist,sniper
4292,The creative students studied the enriching books,They were containing valuable information,They,books,students
4293,The people initiated a movement against the unrepresentative government,They were suppressing media,They,government,people
4294,The active bee hovered over the generous flower,It was a popular destination,It,flower,bee
4295,The outraged people took a stand against the unjust government,They were committing atrocities,They,government,people
4296,The hard-working bee gathered pollen from the flower,It was collecting essential pollen,It,bee,flower
4297,The dull knife cut through the fence smoothly,It was easily damaged and in disrepair,It,fence,knife
4298,The tireless bee ventured to the flower,It was attracting many pollinators,It,flower,bee
4299,The sniper took aim the terrorist,He was a winning killer,He,sniper,terrorist
4300,The unswerving heart drove skin-nourshing blood that sustained life,It was a cell-energizing liquid,It,blood,heart
4301,The heart pumped blood-pressure-controlling blood with determination,It was a sturdy organ,It,heart,blood
4302,The sailors fell off the derelict boats,They were exploring uncharted waters,They,sailors,boats
4303,The heart pushed blood with determination,It was a self-assured organ,It,heart,blood
4304,The heavy-duty knife scratched the construction fence near the garden,It was a natural and organic,It,fence,knife
4305,The storm battered the morning flight,It was putting travelers in danger,It,storm,flight
4306,The diligent students explored the self-help books,They were filled with data,They,books,students
4307,The people held a rally against the government,They were covering up scandals,They,government,people
4308,The quick heart beat blood with care,It was a tireless organ,It,heart,blood
4309,The birds ate the overflowing seeds,They were determined to eat them,They,birds,seeds
4310,The adventurous sailors fled the boats,They were repairing the hull,They,sailors,boats
4311,The students reinterpreted the humorous books,They were rich with meaning,They,books,students
4312,The knife scratched the weak fence effortlessly,It was sharp and precise,It,knife,fence
4313,The knife punctured the fence with a satisfying sound,It was a precise tool,It,knife,fence
4314,The sailors escaped off the boats,They were ignoring safety precautions,They,sailors,boats
4315,The heart drove blood that rejuvenated cells,It was a cleansing liquid,It,blood,heart
4316,The birds chose the seeds,They were mouth-watering,They,seeds,birds
4317,The heavy-duty knife punctured the fence with ease,It was a sharp and effective,It,knife,fence
4318,The unswerving heart circulated blood with great force,It was a tenacious muscle,It,heart,blood
4319,The bee landed on the flower,It was seeking more flowers,It,bee,flower
4320,The dedicated students analyzed the books,They were divisive,They,books,students
4321,The formidable heart beat cleansing blood that nourished cells,It was a muscle-nourishing fluid,It,blood,heart
4322,The indomitable heart pushed necessary blood that supported life,It was a vitalizing fluid,It,blood,heart
4323,The people staged a boycott against the ineffective government,They were monitoring citizens,They,government,people
4324,The resourceful sniper executed the terrorist,He was a talented sharpshooter,He,sniper,terrorist
4325,The heart drove sustaining blood that maintained life,It was a brain-oxygenating fluid,It,blood,heart
4326,The determined bee perched on the flower,It was abundant with pollen,It,flower,bee
4327,The people organized a boycott against the government,They were promoting unethical behavior,They,government,people
4328,The swift birds noticed the overflowing seeds,They were a quick snack,They,seeds,birds
4329,The strong storm delayed the morning flight,It was headed for Europe,It,flight,storm
4330,The quick heart beat blood with determination,It was a pumping muscle,It,heart,blood
4331,The sniper took aim the notorious terrorist,He was a precise sharpshooter,He,sniper,terrorist
4332,The chirpy birds experimented with the seeds,They were full of vitamins,They,seeds,birds
4333,The snacking birds approached the slow seeds,They were a well-balanced meal,They,seeds,birds
4334,The storm ruined the flight,It was carrying a VIP,It,flight,storm
4335,The serrated knife cut through the construction fence surrounding the garden,It was a obstructive and imposing,It,fence,knife
4336,The unwavering people held hands against the ineffective government,They were exploiting the poor,They,government,people
4337,The knife scratched the weak fence carefully,It was a reliable implement,It,knife,fence
4338,The birds chose the seeds,They were making smart food choices,They,birds,seeds
4339,The dedicated students created projects based on the ancient books,They were enjoying their studies,They,students,books
4340,The proactive people staged a walkout against the ineffective government,They were rigging elections,They,government,people
4341,The heart moved brain-enhancing blood that sustained life,It was a temperature-controlling fluid,It,blood,heart
4342,The sailors dove off the navy boats,They were trying to reach safety,They,sailors,boats
4343,The productive bee buzzed the flower,It was a treasure,It,flower,bee
4344,The people rallied together against the government,They were exploiting the poor,They,government,people
4345,The police prosecuted the criminals through the city,They were a skilled and efficient team,They,police,criminals
4346,The quick heart pushed blood with a clear intention,It was a focused organ,It,heart,blood
4347,The dedicated students created projects based on the ancient books,They were covering advanced topics,They,books,students
4348,The sailors jumped off the foundering boats,They were capsizing,They,boats,sailors
4349,The creative students learned from the useful books,They were boring,They,books,students
4350,The sniper neutralized the terrorist,He was a winning shooter,He,sniper,terrorist
4351,The knife scratched the construction fence with one quick strike,It was sharp and well-oiled,It,knife,fence
4352,The powerful heart pushed immune-boosting blood that aided digestion,It was a fluid-balancing liquid,It,blood,heart
4353,The birds plucked the seeds,They were a joyful food,They,seeds,birds
4354,The outraged people occupied the city center against the dishonest government,They were violating election laws,They,government,people
4355,The sailors tumbled off the understaffed boats,They were taking unnecessary risks,They,sailors,boats
4356,The fearless heart drove blood with great force,It was a energetic organ,It,heart,blood
4357,The sniper fired the terrorist,He was a notorious guy,He,terrorist,sniper
4358,The efficient bee rested on the flower,It was fascinated by the pollen,It,bee,flower
4359,The strong bee ventured to the pristine flower,It was offering nectar,It,flower,bee
4360,The curious bee hovered near the awe-inspiring flower,It was filled with pollen,It,flower,bee
4361,The exhausted sailors dove off the boats,They were braving the storm,They,sailors,boats
4362,The creative students delved into the adventurous books,They were stimulating their minds,They,students,books
4363,The people marched in solidarity against the dismissive government,They were colluding with corporations,They,government,people
4364,The storm pounded the morning flight,It was causing flash floods,It,storm,flight
4365,The persistent storm interrupted the morning flight,It was bringing high winds,It,storm,flight
4366,The adventurous bee explored the pristine flower,It was a treasure,It,flower,bee
4367,The sailors jumped from the unsteady boats,They were handling the rough seas,They,sailors,boats
